cycle,voltage_v,discharge_capacity_ah
10,3.28600,0.036000
10,3.26900,0.073000
10,3.26300,0.110000
10,3.25700,0.146000
10,3.25200,0.183000
10,3.24700,0.220000
10,3.24100,0.256000
10,3.23500,0.293000
10,3.23000,0.330000
10,3.22600,0.366000
10,3.22100,0.403000
10,3.21800,0.440000
10,3.21300,0.476000
10,3.20900,0.513000
10,3.20500,0.550000
10,3.19900,0.586000
10,3.19400,0.623000
10,3.18700,0.660000
10,3.18000,0.696000
10,3.17100,0.733000
10,3.16100,0.770000
10,3.14900,0.806000
10,3.13500,0.843000
10,3.12000,0.880000
10,3.10000,0.916000
10,3.05900,0.953000
10,2.93400,0.990000
10,2.54700,1.026000
10,1.99400,1.032000
100,3.28600,0.036000
100,3.27000,0.073000
100,3.26400,0.109000
100,3.25800,0.146000
100,3.25300,0.183000
100,3.24700,0.220000
100,3.24100,0.256000
100,3.23500,0.293000
100,3.23000,0.330000
100,3.22600,0.366000
100,3.22200,0.403000
100,3.21800,0.440000
100,3.21300,0.476000
100,3.20900,0.513000
100,3.20400,0.550000
100,3.19900,0.586000
100,3.19400,0.623000
100,3.18700,0.660000
100,3.18000,0.696000
100,3.17100,0.733000
100,3.16100,0.770000
100,3.14800,0.806000
100,3.13400,0.843000
100,3.11800,0.880000
100,3.09800,0.916000
100,3.05200,0.953000
100,2.91600,0.990000
100,2.41000,1.026000
100,1.99200,1.029000
